Category: All categories

Month,tesla: (Worldwide)
2004-01,6
2004-02,7
2004-03,6
2004-04,6
2004-05,6
2004-06,5
2004-07,5
2004-08,5
2004-09,5
2004-10,5
2004-11,5
2004-12,5
2005-01,5
2005-02,5
2005-03,5
2005-04,5
2005-05,5
2005-06,5
2005-07,4
2005-08,5
2005-09,5
2005-10,5
2005-11,5
2005-12,5
2006-01,5
2006-02,5
2006-03,5
2006-04,5
2006-05,5
2006-06,4
2006-07,8
2006-08,7
2006-09,6
2006-10,7
2006-11,6
2006-12,6
2007-01,6
2007-02,7
2007-03,7
2007-04,7
2007-05,7
2007-06,8
2007-07,6
2007-08,7
2007-09,6
2007-10,6
2007-11,7
2007-12,6
2008-01,7
2008-02,7
2008-03,7
2008-04,7
2008-05,9
2008-06,8
2008-07,8
2008-08,7
2008-09,7
2008-10,8
2008-11,8
2008-12,7
2009-01,7
2009-02,7
2009-03,9
2009-04,8
2009-05,8
2009-06,8
2009-07,16
2009-08,7
2009-09,7
2009-10,7
2009-11,7
2009-12,6
2010-01,8
2010-02,8
2010-03,7
2010-04,7
2010-05,8
2010-06,9
2010-07,9
2010-08,7
2010-09,7
2010-10,8
2010-11,7
2010-12,7
2011-01,9
2011-02,8
2011-03,9
2011-04,9
2011-05,8
2011-06,8
2011-07,7
2011-08,7
2011-09,8
2011-10,9
2011-11,8
2011-12,8
2012-01,8
2012-02,10
2012-03,8
2012-04,8
2012-05,9
2012-06,10
2012-07,10
2012-08,9
2012-09,10
2012-10,10
2012-11,13
2012-12,10
2013-01,10
2013-02,13
2013-03,13
2013-04,14
2013-05,19
2013-06,16
2013-07,17
2013-08,23
2013-09,18
2013-10,21
2013-11,19
2013-12,16
2014-01,16
2014-02,20
2014-03,20
2014-04,20
2014-05,21
2014-06,21
2014-07,22
2014-08,21
2014-09,20
2014-10,25
2014-11,19
2014-12,18
2015-01,22
2015-02,25
2015-03,21
2015-04,22
2015-05,31
2015-06,22
2015-07,25
2015-08,27
2015-09,29
2015-10,30
2015-11,25
2015-12,23
2016-01,24
2016-02,27
2016-03,28
2016-04,58
2016-05,30
2016-06,27
2016-07,31
2016-08,26
2016-09,26
2016-10,32
2016-11,29
2016-12,27
2017-01,28
2017-02,30
2017-03,30
2017-04,35
2017-05,32
2017-06,33
2017-07,48
2017-08,40
2017-09,35
2017-10,35
2017-11,53
2017-12,40
2018-01,39
2018-02,48
2018-03,37
2018-04,38
2018-05,40
2018-06,37
2018-07,39
2018-08,43
2018-09,44
2018-10,44
2018-11,37
2018-12,41
2019-01,41
2019-02,39
2019-03,54
2019-04,48
2019-05,49
2019-06,47
2019-07,48
2019-08,45
2019-09,46
2019-10,46
2019-11,97
2019-12,59
2020-01,65
2020-02,76
2020-03,56
2020-04,44
2020-05,52
2020-06,59
2020-07,80
2020-08,73
2020-09,98
2020-10,66
2020-11,63
2020-12,71
2021-01,100
2021-02,91
2021-03,83
2021-04,73
2021-05,73
2021-06,65
2021-07,65
2021-08,65
2021-09,61
2021-10,76
2021-11,85
2021-12,76
2022-01,78
2022-02,69
2022-03,80
2022-04,84
2022-05,78
2022-06,78
2022-07,67
2022-08,68
2022-09,61
2022-10,62
2022-11,59
2022-12,69
2023-01,85
2023-02,78
2023-03,71
2023-04,69
2023-05,65
2023-06,75
2023-07,80
2023-08,76
2023-09,74
2023-10,72
2023-11,69
2023-12,71
2024-01,71
2024-02,70
2024-03,74
